lat,lng,total
56,74,0.009
37,-112,0.009
52,69,0.002
13,6,0.009
9,7,0.008
-10,-73,0.002
24,27,0.004
-14,-58,0.006
23,-80,0.001
-34,-55,0.002
0,17,0.009
-38,-64,0.008
47,23,0.004
19,94,0.004
-23,-57,0.0
-24,30,0.006
58,57,0.007
38,56,0.006
35,82,0.001
37,99,0.0
-8,121,0.002
15,23,0.001
10,29,0.007
47,121,0.01
38,-89,0.005
15,-88,0.005
49,20,0.007
14,14,0.006
25,42,0.009
2,35,0.006
1,32,0.007
16,82,0.001
-22,29,0.004
26,108,0.008
25,-105,0.008
40,107,0.002
2,-74,0.004
36,38,0.006
38,129,0.005
50,81,0.003
12,-4,0.007
40,-6,0.005
-20,-39,0.005
-7,151,0.008
40,-119,0.006
39,98,0.001
54,72,0.003
50,51,0.003
30,58,0.003
26,45,0.004
3,14,0.004
2,103,0.006
-20,30,0.008
-21,24,0.003
51,115,0.009
-3,-68,0.004
12,105,0.008
-7,-75,0.007
45,21,0.006
-3,41,0.003
-35,-66,0.01
30,92,0.007
45,-90,0.001
60,27,0.004
32,49,0.004
31,-102,0.003
28,44,0.001
-30,-70,0.009
55,65,0.004
51,62,0.004
-3,111,0.004
31,75,0.01
28,-101,0.001
27,72,0.004
42,-82,0.005
22,-79,0.0
-1,26,0.0
-39,-61,0.008
-2,-53,0.005
70,24,0.007
66,67,0.005
43,124,0.004
45,89,0.009
42,61,0.003
55,99,0.003
-11,-62,0.001
57,74,0.007
37,67,0.002
33,64,0.008
10,125,0.008
28,104,0.006
9,22,0.005
56,14,0.007
37,-76,0.004
-4,-71,0.001
33,-83,0.009
9,-13,0.003
46,123,0.003
43,-89,0.006
57,-152,0.01
0,37,0.003
23,69,0.003
1,109,0.006
15,106,0.009
11,39,0.003
-43,-72,0.008
-9,-44,0.002
25,104,0.007
-13,25,0.006
61,9,0.008
58,13,0.003
35,110,0.001
37,119,0.005
34,71,0.009
15,-5,0.001
49,95,0.007
11,-8,0.003
48,-122,0.01
20,111,0.003
1,-53,0.004
53,51,0.006
49,48,0.006
29,73,0.005
25,70,0.009
-19,29,0.007
68,33,0.01
48,108,0.009
26,128,0.006
-32,-70,0.009
40,79,0.008
39,-92,0.007
50,117,0.009
12,24,0.003
11,99,0.002
-12,30,0.007
59,40,0.008
39,53,0.006
36,-95,0.004
35,58,0.008
30,-85,0.007
-8,-46,0.003
7,36,0.004
-17,30,0.007
54,36,0.007
7,-11,0.004
6,16,0.0
-3,-64,0.006
-26,29,0.008
-27,-58,0.001
60,8,0.004
21,71,0.008
36,78,0.006
17,76,0.007
-6,-47,0.005
42,112,0.009
-16,-54,0.005
21,-104,0.0
54,77,0.003
-40,-72,0.01
32,69,0.007
28,72,0.003
27,-13,0.006
8,19,0.008
-15,40,0.008
-16,25,0.004
55,37,0.002
31,31,0.008
42,-110,0.002
-6,150,0.001
43,88,0.003
45,125,0.004
18,27,0.001
52,-113,0.007
9,-79,0.009
46,-75,0.001
-11,-74,0.002
-15,-73,0.007
57,38,0.007
52,-2,0.001
24,84,0.009
-24,-56,0.002
-28,-53,0.004
43,3,0.004
24,67,0.01
13,99,0.007
-28,26,0.001
-28,-64,0.006
43,20,0.004
23,105,0.007
38,-3,0.01
0,-80,0.008
25,116,0.009
61,13,0.008
49,91,0.003
-8,114,0.008
-18,23,0.009
53,39,0.005
29,13,0.001
44,116,0.004
6,-1,0.003
48,128,0.006
40,51,0.007
36,46,0.009
35,5,0.002
-19,146,0.004
-30,-50,0.009
26,-109,0.002
17,121,0.008
50,12,0.005
12,-61,0.003
27,83,0.008
29,100,0.0
6,-7,0.007
-36,175,0.008
54,-128,0.002
30,34,0.009
6,44,0.007
54,-113,0.006
64,41,0.008
-30,32,0.0
41,34,0.007
36,122,0.01
32,122,0.007
-25,153,0.002
-7,14,0.009
27,-98,0.003
42,84,0.008
41,-81,0.009
52,94,0.005
51,21,0.001
32,41,0.002
27,15,0.002
-9,-40,0.009
55,9,0.007
51,6,0.006
32,-112,0.004
31,131,0.008
42,-122,0.002
18,-16,0.01
-1,-46,0.007
-38,141,0.004
-5,15,0.008
-6,122,0.002
42,21,0.003
18,31,0.002
33,7,0.008
-5,-64,0.003
-15,-45,0.0
22,107,0.002
37,-5,0.004
52,42,0.01
13,33,0.003
47,-111,0.001
-10,-36,0.003
-11,31,0.01
-9,14,0.0
56,86,0.005
-3,148,0.001
33,-91,0.004
47,34,0.003
44,20,0.007
23,28,0.003
20,42,0.003
-8,146,0.009
-4,32,0.007
44,-93,0.007
62,39,0.0
23,109,0.003
20,-103,0.007
38,25,0.007
35,101,0.004
-27,154,0.006
15,34,0.004
14,3,0.005
10,10,0.006
47,132,0.002
61,49,0.002
-8,111,0.006
49,119,0.002
48,-66,0.0
29,4,0.006
-19,-40,0.008
53,11,0.008
-3,102,0.004
49,8,0.009
48,13,0.007
44,80,0.009
38,102,0.002
16,-2,0.008
12,1,0.007
29,-94,0.003
59,47,0.003
40,23,0.009
11,123,0.006
40,-90,0.009
39,125,0.008
-44,-73,0.003
16,-92,0.009
50,16,0.004
27,111,0.007
-22,-49,0.008
41,96,0.006
-21,-47,0.01
39,142,0.007
51,102,0.008
30,-2,0.0
7,-67,0.004
-17,-57,0.007
-6,26,0.004
30,109,0.0
45,1,0.001
60,64,0.0
-29,-55,0.001
-35,151,0.002
32,78,0.005
-6,-55,0.001
-26,-56,0.006
8,12,0.005
41,-101,0.002
3,100,0.006
55,60,0.008
51,33,0.001
32,-3,0.006
66,77,0.002
27,43,0.009
4,22,0.008
-16,-47,0.003
21,93,0.009
-1,117,0.005
-39,-70,0.001
46,35,0.006
43,127,0.002
19,33,0.009
-2,15,0.006
48,96,0.005
-25,48,0.005
9,-84,0.002
-10,150,0.009
43,144,0.005
42,-7,0.009
57,93,0.003
37,42,0.004
10,106,0.006
28,77,0.005
-10,37,0.005
-14,-44,0.004
56,75,0.003
37,-113,0.001
52,70,0.01
13,5,0.008
9,10,0.005
46,80,0.003
24,28,0.001
-14,-61,0.002
23,-81,0.005
-34,-54,0.002
0,18,0.01
-38,-67,0.006
47,22,0.007
34,-111,0.002
-23,-54,0.0
-24,31,0.005
62,51,0.004
58,58,0.0
35,81,0.0
37,94,0.006
34,36,0.001
15,22,0.005
10,30,0.004
47,120,0.002
1,-78,0.004
38,-88,0.001
15,-89,0.01
49,19,0.001
25,41,0.003
-2,101,0.002
2,36,0.005
1,31,0.002
16,83,0.001
-22,30,0.004
48,49,0.001
26,105,0.005
25,-102,0.005
40,108,0.008
2,-77,0.003
36,39,0.005
-18,-70,0.007
50,82,0.006
12,29,0.003
-31,31,0.007
40,-5,0.005
29,123,0.008
7,127,0.008
6,-62,0.004
39,97,0.0
54,69,0.007
50,52,0.004
30,47,0.004
26,46,0.005
6,49,0.007
3,13,0.007
2,104,0.003
17,-62,0.005
-21,23,0.005
51,114,0.009
-3,-69,0.008
12,106,0.005
45,24,0.008
6,100,0.005
30,89,0.003
45,-91,0.008
60,28,0.005
32,50,0.008
-17,-41,0.0
31,-103,0.008
28,45,0.009
55,64,0.002
51,61,0.003
31,74,0.004
28,-100,0.009
9,106,0.001
27,71,0.009
22,-78,0.004
-1,25,0.008
-2,-52,0.006
-5,-42,0.005
46,63,0.005
43,123,0.004
45,92,0.003
42,62,0.001
6,-2,0.003
46,-102,0.006
-11,-63,0.009
-15,-66,0.003
57,73,0.009
37,62,0.003
33,63,0.005
10,126,0.004
28,105,0.0
9,21,0.009
56,15,0.007
37,-77,0.003
-4,-70,0.006
33,-80,0.009
46,124,0.008
43,-90,0.005
0,38,0.003
-5,146,0.008
13,122,0.006
1,112,0.002
15,105,0.003
11,38,0.008
-43,-73,0.003
-9,-45,0.007
25,103,0.003
-13,16,0.006
61,12,0.003
58,14,0.004
0,102,0.003
-18,169,0.004
35,109,0.006
37,130,0.004
34,72,0.01
15,-6,0.003
14,75,0.002
11,-9,0.004
48,-121,0.002
-32,149,0.005
53,46,0.003
49,47,0.009
29,76,0.001
-9,126,0.007
25,69,0.005
-19,32,0.002
68,34,0.006
48,101,0.002
40,80,0.01
39,-93,0.002
50,118,0.007
12,25,0.007
-12,31,0.002
59,39,0.003
36,-94,0.009
35,57,0.004
30,-84,0.004
-8,-45,0.007
7,35,0.002
-17,29,0.007
54,33,0.002
7,-12,0.001
6,13,0.002
17,-98,0.009
-3,-65,0.006
-26,30,0.006
-27,-59,0.007
-13,-39,0.001
60,9,0.01
21,50,0.006
36,79,0.001
17,75,0.007
-6,-46,0.004
31,-116,0.004
42,109,0.001
-16,-53,0.004
21,-105,0.0
-20,-58,0.005
54,78,0.002
32,70,0.002
28,73,0.009
8,20,0.01
-16,26,0.001
55,36,0.004
31,30,0.001
42,-113,0.006
19,48,0.004
18,-87,0.008
-3,-48,0.0
65,27,0.007
43,87,0.005
45,128,0.007
18,28,0.006
52,-112,0.004
9,-76,0.009
46,-74,0.001
-11,-75,0.005
-14,41,0.008
-15,-70,0.004
57,37,0.009
52,-1,0.007
-10,-35,0.01
24,77,0.007
34,119,0.01
-24,-63,0.006
-28,-52,0.008
43,2,0.001
24,68,0.005
-9,32,0.008
0,74,0.008
13,94,0.0
-28,27,0.003
43,19,0.001
24,-77,0.004
23,104,0.01
38,-2,0.008
25,115,0.005
-38,177,0.0
61,16,0.007
49,126,0.007
-8,115,0.002
-42,173,0.001
-18,24,0.004
53,18,0.007
44,117,0.001
5,22,0.004
38,79,0.004
49,-68,0.003
48,137,0.006
14,122,0.006
63,13,0.002
36,47,0.006
35,12,0.002
11,126,0.01
26,-108,0.006
-11,30,0.008
39,24,0.002
50,9,0.01
27,82,0.009
29,99,0.004
6,-6,0.005
53,102,0.01
30,-9,0.002
6,41,0.0
17,-102,0.005
54,-112,0.005
64,42,0.007
-30,29,0.007
41,33,0.0
36,123,0.004
17,39,0.009
-3,-44,0.0
-25,152,0.006
-7,13,0.006
27,-99,0.001
45,-83,0.007
42,81,0.005
41,-78,0.002
-17,-48,0.0
51,28,0.005
32,42,0.003
-25,-69,0.006
22,-97,0.005
-16,46,0.007
-20,49,0.003
51,5,0.005
32,-103,0.01
-25,-70,0.004
19,28,0.003
-1,-47,0.01
-5,14,0.003
46,-121,0.003
42,22,0.005
18,32,0.01
33,10,0.009
-5,-65,0.003
-15,-42,0.01
22,108,0.004
0,128,0.005
52,43,0.01
13,36,0.007
-10,-39,0.001
24,113,0.005
56,87,0.004
33,-88,0.004
47,33,0.0
44,21,0.005
23,27,0.008
20,43,0.002
-4,33,0.004
44,-92,0.004
62,40,0.007
20,-102,0.001
35,108,0.005
15,33,0.009
14,4,0.0
10,7,0.004
47,131,0.007
61,52,0.001
38,-119,0.004
49,122,0.002
48,-65,0.003
29,3,0.003
-19,-41,0.005
53,6,0.002
49,7,0.01
48,14,0.003
44,81,0.005
40,129,0.008
38,107,0.009
35,-105,0.007
16,-1,0.001
53,-101,0.004
12,2,0.008
29,-95,0.006
59,46,0.004
40,24,0.009
61,77,0.009
35,40,0.006
11,122,0.007
40,-89,0.0
39,124,0.003
16,-99,0.006
50,13,0.003
-12,-51,0.004
27,110,0.003
41,95,0.0
3,40,0.003
2,129,0.006
39,141,0.007
-21,58,0.006
-21,-64,0.004
30,3,0.008
7,-68,0.002
-17,-58,0.003
-6,23,0.008
30,110,0.004
8,118,0.008
45,4,0.006
60,65,0.001
-35,146,0.001
32,79,0.003
-26,-59,0.01
8,5,0.006
3,99,0.002
55,59,0.004
51,56,0.0
32,-2,0.006
27,42,0.003
4,23,0.005
22,-101,0.001
-16,-46,0.008
21,96,0.007
-1,132,0.006
-39,-71,0.004
46,36,0.006
43,126,0.008
55,125,0.007
-2,16,0.002
-25,47,0.004
9,-85,0.008
43,143,0.003
42,-6,0.006
-11,38,0.01
57,96,0.007
37,41,0.002
28,78,0.006
-10,38,0.002
-14,-47,0.007
56,76,0.005
52,71,0.004
13,8,0.002
9,9,0.004
46,77,0.005
-14,-60,0.008
23,-82,0.001
-34,-65,0.005
0,19,0.001
47,21,0.007
19,100,0.005
34,-110,0.002
-23,-55,0.006
-24,32,0.006
58,55,0.001
35,136,0.009
34,33,0.002
15,21,0.003
10,43,0.009
-9,31,0.006
-9,117,0.005
-40,175,0.004
1,-79,0.007
38,-91,0.003
15,-90,0.006
49,22,0.007
25,44,0.009
2,33,0.003
1,34,0.0
26,106,0.0
25,-103,0.004
40,101,0.002
2,-76,0.003
36,40,0.006
50,79,0.01
12,30,0.007
40,-4,0.005
-52,-70,0.004
29,118,0.01
7,126,0.001
6,-57,0.006
40,-117,0.01
36,-122,0.008
54,70,0.001
53,141,0.008
50,49,0.002
30,48,0.005
26,59,0.001
6,50,0.009
3,20,0.008
2,101,0.006
-21,22,0.01
51,113,0.008
12,107,0.008
45,23,0.003
30,90,0.005
-37,-70,0.01
-27,33,0.008
45,-88,0.008
60,29,0.005
21,-98,0.001
32,51,0.005
28,46,0.003
8,41,0.009
55,63,0.004
51,68,0.005
-3,137,0.003
31,73,0.006
28,-99,0.006
9,105,0.01
27,70,0.008
-1,24,0.002
-2,-55,0.002
-5,-43,0.004
66,65,0.004
46,64,0.006
43,122,0.004
45,91,0.0
42,75,0.002
55,97,0.003
46,-113,0.0
-15,-67,0.007
57,76,0.003
37,61,0.004
33,66,0.004
28,106,0.008
9,24,0.006
-11,-47,0.007
-9,23,0.003
-4,121,0.0
56,16,0.01
37,-82,0.006
-4,-69,0.0
33,-81,0.001
44,62,0.004
46,121,0.006
43,-91,0.01
24,57,0.001
0,39,0.006
-5,145,0.003
13,121,0.004
1,111,0.002
15,104,0.004
11,37,0.01
14,46,0.002
25,106,0.004
-13,15,0.009
61,11,0.002
58,27,0.007
35,116,0.004
37,129,0.007
34,69,0.003
15,-7,0.002
14,76,0.004
11,-10,0.002
-8,144,0.0
-32,150,0.004
-19,-54,0.004
53,45,0.01
49,50,0.009
29,75,0.007
25,72,0.005
-33,-67,0.005
-19,31,0.01
48,102,0.008
-32,-68,0.01
40,73,0.007
39,-94,0.004
50,115,0.002
12,26,0.001
-12,32,0.004
59,38,0.004
36,-93,0.008
35,48,0.007
12,-87,0.006
30,-87,0.002
-8,-44,0.005
29,90,0.009
7,34,0.009
-36,149,0.005
54,34,0.002
30,28,0.002
6,14,0.005
-20,35,0.009
17,-99,0.008
-7,-61,0.007
-27,-56,0.008
60,10,0.009
21,49,0.007
18,85,0.008
36,80,0.005
17,46,0.009
-6,-49,0.007
42,110,0.009
-16,-52,0.006
-20,-57,0.002
54,83,0.003
32,71,0.008
31,-4,0.007
28,74,0.004
27,-15,0.007
8,13,0.003
-16,27,0.008
55,35,0.006
42,-112,0.0
19,47,0.005
65,30,0.007
43,86,0.008
45,127,0.0
18,25,0.006
52,-111,0.001
13,-86,0.001
-30,153,0.008
-18,-57,0.008
-15,-71,0.001
57,40,0.002
56,-3,0.002
52,0,0.007
24,78,0.008
34,120,0.008
-5,132,0.002
-24,-62,0.0
47,-116,0.008
43,1,0.0
-1,10,0.002
67,16,0.007
13,93,0.006
-28,28,0.0
43,18,0.006
23,103,0.0
-37,-60,0.008
0,-70,0.002
15,76,0.0
61,15,0.008
49,125,0.008
-8,116,0.008
29,-6,0.009
20,77,0.01
-18,21,0.006
53,17,0.005
29,15,0.005
44,118,0.008
5,21,0.007
38,80,0.002
48,138,0.003
63,28,0.003
40,45,0.002
36,48,0.001
35,11,0.006
12,54,0.007
11,125,0.001
26,-111,0.007
39,23,0.0
17,123,0.008
-55,-67,0.004
50,10,0.002
27,81,0.009
29,94,0.002
41,118,0.002
54,-130,0.004
53,101,0.001
30,-8,0.003
26,-13,0.002
6,42,0.004
-10,-68,0.001
54,-115,0.005
-21,-54,0.008
64,43,0.005
-30,30,0.003
41,36,0.009
17,42,0.006
-3,-45,0.0
-6,-77,0.004
-25,151,0.004
-7,16,0.001
45,-80,0.008
42,82,0.005
41,-79,0.008
3,118,0.008
51,27,0.005
32,43,0.003
8,49,0.003
-16,47,0.009
51,12,0.006
32,-102,0.01
45,142,0.005
19,27,0.005
6,-11,0.008
33,92,0.001
-5,13,0.001
-6,120,0.007
65,58,0.01
46,-120,0.007
42,3,0.001
18,29,0.001
33,9,0.005
-5,-66,0.005
-29,152,0.01
-15,-43,0.009
22,105,0.009
-20,-50,0.001
52,44,0.004
13,35,0.007
47,-113,0.003
-10,-38,0.005
24,114,0.007
56,88,0.009
33,-89,0.004
47,32,0.007
44,22,0.005
23,26,0.006
20,44,0.002
19,87,0.002
34,-85,0.003
-4,34,0.009
44,-91,0.004
62,37,0.003
20,-101,0.007
38,31,0.009
35,107,0.01
15,32,0.001
14,1,0.009
10,8,0.003
47,130,0.005
61,51,0.007
-33,20,0.006
-18,178,0.01
6,40,0.008
49,121,0.008
48,-64,0.004
29,-2,0.004
-13,-56,0.002
16,121,0.007
53,5,0.007
49,10,0.002
48,15,0.009
26,83,0.009
44,82,0.009
40,130,0.003
38,108,0.007
35,-106,0.007
16,0,0.006
12,3,0.007
29,-92,0.009
48,-113,0.002
59,45,0.007
40,17,0.009
35,39,0.006
11,121,0.01
-8,37,0.003
40,-88,0.005
39,123,0.009
16,-98,0.0
50,14,0.006
27,109,0.002
3,39,0.002
51,108,0.007
30,4,0.007
7,-69,0.007
3,-72,0.004
-17,-59,0.005
-6,24,0.01
30,115,0.001
23,95,0.003
45,3,0.005
-4,-40,0.009
17,6,0.007
-6,-57,0.002
28,19,0.004
-26,-58,0.0
8,6,0.002
3,98,0.009
55,58,0.007
51,55,0.006
32,-1,0.009
31,52,0.003
27,41,0.002
4,24,0.0
22,-100,0.001
-16,-45,0.003
21,95,0.005
-1,131,0.005
-3,-43,0.009
46,33,0.01
43,125,0.01
22,43,0.005
55,92,0.008
-2,13,0.003
-25,46,0.007
43,142,0.008
42,-9,0.001
57,95,0.002
19,-88,0.004
37,44,0.009
-2,128,0.007
10,104,0.003
28,79,0.007
-14,-46,0.002
56,69,0.007
37,-103,0.004
52,72,0.001
13,7,0.004
8,94,0.009
47,-77,0.001
9,12,0.004
46,78,0.005
43,-80,0.007
-11,125,0.006
-34,-64,0.005
0,20,0.006
37,-118,0.007
47,68,0.004
19,99,0.007
-8,143,0.008
-23,-52,0.001
-24,25,0.008
14,38,0.01
58,56,0.009
38,59,0.005
35,135,0.009
34,34,0.005
15,4,0.007
10,44,0.006
14,32,0.003
1,-76,0.005
38,-90,0.007
15,-91,0.009
49,21,0.006
25,43,0.002
2,34,0.005
1,33,0.006
16,77,0.01
-22,44,0.005
48,51,0.005
26,103,0.01
25,-100,0.002
36,41,0.002
-22,-69,0.004
50,80,0.002
12,31,0.003
7,172,0.005
5,126,0.003
-7,156,0.009
29,117,0.0
7,125,0.009
39,95,0.002
36,-121,0.0
54,75,0.006
50,50,0.003
30,45,0.004
26,60,0.002
3,19,0.005
2,102,0.006
12,108,0.003
-7,-70,0.004
45,18,0.007
-25,-65,0.005
36,101,0.008
-3,38,0.009
30,79,0.002
45,-89,0.003
60,30,0.005
-29,-60,0.004
21,-99,0.004
32,52,0.008
31,-105,0.007
28,47,0.009
8,42,0.0
55,62,0.009
51,67,0.007
-3,140,0.008
31,72,0.004
28,-98,0.008
27,69,0.003
42,-71,0.006
-1,23,0.003
-2,-54,0.006
43,121,0.007
45,86,0.002
42,76,0.006
22,71,0.003
56,-117,0.007
55,96,0.006
52,-122,0.007
13,-59,0.0
-25,18,0.005
5,12,0.009
46,-112,0.008
-11,-61,0.009
-15,-64,0.006
57,75,0.005
37,64,0.003
33,65,0.003
28,107,0.005
9,23,0.008
-11,-44,0.009
-18,-63,0.005
-15,13,0.002
56,41,0.006
37,-83,0.003
-4,-68,0.003
33,-78,0.004
44,63,0.007
46,122,0.003
43,-84,0.006
20,53,0.0
0,40,0.003
-5,152,0.005
13,124,0.001
43,53,0.007
1,114,0.01
34,-77,0.003
15,103,0.003
11,44,0.009
10,-83,0.009
-9,-47,0.007
25,105,0.005
-13,14,0.004
61,6,0.006
58,28,0.008
35,115,0.008
34,70,0.009
15,-8,0.0
49,100,0.001
11,-11,0.001
-32,151,0.008
-19,-55,0.008
53,48,0.009
49,49,0.001
29,70,0.007
25,71,0.006
-2,106,0.005
-19,26,0.008
48,103,0.005
40,74,0.009
39,-95,0.006
36,69,0.007
50,116,0.005
12,27,0.004
-7,135,0.01
11,104,0.002
-12,33,0.002
59,37,0.006
5,98,0.005
39,50,0.003
36,-92,0.007
35,47,0.002
12,-86,0.005
30,-86,0.004
-8,-51,0.002
29,89,0.008
7,33,0.007
-36,150,0.004
54,39,0.002
30,25,0.001
6,19,0.003
17,-96,0.001
-27,-57,0.002
60,11,0.005
21,52,0.005
36,81,0.01
17,45,0.008
-6,-48,0.009
42,123,0.008
-16,-59,0.002
-20,-56,0.002
52,85,0.004
54,84,0.007
-41,-63,0.004
32,72,0.006
31,-5,0.004
28,75,0.002
8,14,0.003
-16,28,0.004
55,34,0.003
31,44,0.002
19,46,0.009
18,-89,0.0
33,127,0.007
-5,56,0.005
-36,148,0.003
65,29,0.007
43,85,0.007
45,122,0.002
18,26,0.006
6,7,0.006
52,-110,0.0
13,-87,0.01
46,-68,0.009
-11,-73,0.001
-14,39,0.0
-15,-68,0.005
57,39,0.005
56,-2,0.006
52,1,0.006
24,79,0.004
34,117,0.004
33,-114,0.003
-24,-61,0.004
47,-117,0.002
43,8,0.007
19,122,0.004
67,15,0.009
43,17,0.002
58,-3,0.009
-37,-61,0.008
15,75,0.006
47,93,0.01
62,-7,0.004
61,42,0.009
-46,170,0.01
49,128,0.002
-8,109,0.0
29,-7,0.005
20,78,0.004
-18,22,0.005
53,20,0.009
48,-4,0.004
29,42,0.006
44,119,0.01
5,24,0.009
38,77,0.001
48,139,0.007
63,27,0.0
40,46,0.007
39,5,0.004
36,49,0.004
35,10,0.004
-19,147,0.009
12,55,0.006
39,22,0.003
50,7,0.005
27,88,0.005
29,93,0.0
41,117,0.006
53,104,0.003
26,-12,0.008
-9,143,0.006
17,-100,0.008
54,-114,0.007
-30,27,0.007
41,35,0.008
36,109,0.007
32,117,0.001
-6,-76,0.002
-7,15,0.01
42,79,0.006
41,-76,0.003
3,117,0.008
21,-75,0.001
51,26,0.002
32,44,0.005
8,50,0.001
4,45,0.006
22,-99,0.001
-16,48,0.009
51,11,0.001
32,-101,0.009
8,-63,0.004
19,26,0.008
-1,-49,0.009
33,91,0.008
-5,20,0.008
46,-123,0.0
42,4,0.0
57,86,0.01
18,30,0.001
33,12,0.007
6,0,0.003
-29,151,0.007
-15,-40,0.009
22,106,0.003
37,-8,0.008
52,29,0.002
13,30,0.002
47,-114,0.004
46,103,0.004
24,115,0.002
33,-86,0.006
47,31,0.007
44,23,0.0
19,86,0.001
34,-84,0.001
-4,35,0.0
44,-90,0.001
62,38,0.003
20,-100,0.01
38,32,0.002
35,106,0.001
15,31,0.003
14,2,0.007
10,5,0.004
47,129,0.01
61,46,0.003
-33,19,0.008
49,124,0.002
11,-83,0.007
48,-55,0.007
29,-3,0.001
16,122,0.006
53,8,0.002
49,9,0.001
48,16,0.003
26,84,0.005
44,83,0.006
5,-4,0.005
38,105,0.004
35,-107,0.002
16,9,0.006
12,4,0.007
29,-93,0.008
-37,141,0.009
59,52,0.01
40,18,0.003
-20,-43,0.006
35,38,0.008
16,16,0.01
-8,38,0.001
40,-95,0.002
39,122,0.008
16,-97,0.002
50,43,0.001
27,116,0.005
3,38,0.004
-1,103,0.006
-21,32,0.005
51,107,0.009
30,1,0.009
7,-70,0.004
3,-73,0.009
-13,-38,0.005
-6,21,0.006
-35,-62,0.003
30,116,0.008
-35,148,0.01
17,5,0.004
-6,-56,0.002
-26,-53,0.008
8,7,0.007
41,-112,0.002
3,97,0.009
55,57,0.007
52,125,0.005
51,54,0.003
32,0,0.005
31,51,0.003
27,48,0.009
4,25,0.007
22,-103,0.007
-16,-44,0.002
21,106,0.002
-39,-69,0.005
31,100,0.001
46,34,0.005
43,132,0.007
22,44,0.005
55,91,0.009
-2,14,0.008
-25,45,0.003
-10,153,0.007
43,141,0.001
42,-8,0.009
19,-89,0.009
37,43,0.008
-2,125,0.005
28,80,0.009
-14,-49,0.01
56,70,0.009
37,-100,0.004
52,73,0.006
-12,-66,0.001
13,2,0.003
9,11,0.006
46,83,0.009
43,-81,0.001
-14,-62,0.008
-34,-67,0.002
0,13,0.003
37,-119,0.006
-23,46,0.002
-30,-49,0.003
23,29,0.007
19,98,0.003
34,-112,0.003
-36,-60,0.001
-23,-53,0.009
-24,26,0.007
-43,-64,0.01
62,50,0.009
58,53,0.002
38,60,0.009
35,134,0.003
37,95,0.003
15,3,0.002
11,0,0.001
10,41,0.005
-9,29,0.007
5,-70,0.01
-10,162,0.008
1,-77,0.004
38,-85,0.005
49,24,0.009
2,31,0.006
1,36,0.009
16,78,0.006
48,52,0.008
26,104,0.007
25,-101,0.009
2,-78,0.009
36,42,0.004
-22,-68,0.005
50,77,0.007
12,32,0.01
-42,-73,0.007
-12,22,0.001
59,16,0.001
5,125,0.003
36,-7,0.008
29,120,0.002
7,124,0.008
40,-123,0.005
39,94,0.01
36,-120,0.007
54,76,0.001
53,143,0.003
50,47,0.002
30,46,0.006
26,57,0.001
3,18,0.0
2,99,0.0
17,-61,0.005
-21,28,0.001
12,77,0.007
64,-147,0.003
45,17,0.008
6,103,0.009
57,12,0.0
36,102,0.006
-21,165,0.009
-3,37,0.003
30,80,0.007
45,-94,0.009
60,31,0.0
32,45,0.002
31,-106,0.007
28,48,0.005
8,43,0.009
-16,33,0.005
55,61,0.009
51,66,0.003
-3,139,0.002
31,71,0.004
28,-97,0.008
9,107,0.008
27,76,0.009
42,-70,0.01
-1,22,0.007
-5,-37,0.006
66,63,0.005
46,62,0.004
43,96,0.008
45,85,0.003
42,73,0.007
22,72,0.004
18,51,0.005
55,95,0.009
-29,-50,0.009
-15,-65,0.008
57,62,0.0
56,-5,0.002
37,63,0.005
33,68,0.009
28,108,0.002
9,26,0.008
-11,-45,0.009
-15,16,0.002
56,42,0.007
37,-80,0.01
33,-79,0.0
44,64,0.001
43,-85,0.003
20,54,0.002
-23,26,0.007
13,123,0.005
47,55,0.002
43,60,0.01
20,-155,0.009
1,113,0.006
38,-27,0.004
37,142,0.005
34,-76,0.004
15,102,0.005
11,43,0.006
-9,-48,0.005
25,108,0.001
58,25,0.004
35,114,0.002
37,131,0.001
34,67,0.004
15,-9,0.008
49,99,0.001
11,-4,0.006
-9,112,0.002
-32,152,0.01
-19,-52,0.007
53,47,0.004
49,52,0.006
48,1,0.003
29,69,0.005
25,74,0.008
-19,25,0.004
48,104,0.005
-12,-77,0.003
40,75,0.008
39,-96,0.008
36,70,0.001
-19,170,0.005
50,113,0.0
12,28,0.001
11,103,0.003
-12,34,0.003
59,44,0.009
5,97,0.006
39,49,0.005
36,-107,0.009
35,46,0.004
12,-85,0.007
30,-97,0.008
-8,-50,0.003
29,92,0.0
7,32,0.001
8,100,0.004
54,40,0.002
6,20,0.001
-31,152,0.01
17,-97,0.004
-26,33,0.006
8,105,0.005
60,12,0.006
41,58,0.008
21,51,0.009
18,83,0.002
36,82,0.008
17,48,0.007
-6,-51,0.007
42,124,0.006
-16,-58,0.005
-20,-55,0.0
52,86,0.01
54,81,0.002
31,-6,0.003
28,76,0.008
27,-9,0.004
8,15,0.005
-16,21,0.007
55,33,0.001
31,43,0.002
42,-114,0.005
19,45,0.005
18,-88,0.009
33,130,0.005
43,92,0.0
45,121,0.004
-4,153,0.004
52,-109,0.001
13,-84,0.008
46,-71,0.005
-14,40,0.006
-15,-69,0.001
57,42,0.006
0,103,0.009
52,2,0.006
24,80,0.001
-9,18,0.009
34,118,0.007
33,-115,0.007
-5,130,0.002
47,-118,0.003
43,7,0.005
-13,-47,0.006
-24,-45,0.004
43,24,0.002
23,101,0.005
